2.8795134177,2.8258005784,2.7891409677,2.7653539248,2.7511867053,2.7442406728,2.7428323828,2.7458397125,2.7525369228,2.7624057435,2.7749088119,2.7892245539,2.8039727973,2.8170130445,2.8254665710,2.8261598092,2.8166172006,2.7964521900,2.7686060059,2.7396969204,2.7187079916,2.7142856666,2.7333064740,2.7807845507,2.8601561236,2.9731465388,3.1187808317,-2.9916149935,-2.8031047564,-2.6139370147,-2.4345994471,-2.2694753649,-2.1188091886,-1.9808436266,-1.8531755019,-1.7334260640,-1.6195270487,-1.5098692630,-1.4034728501,-1.3002702258,-1.2015339584,-1.1103998444,-1.0322981644,-0.9749385551,-0.9474901247,-0.9591121130,-1.0178107149,-1.1300245437,-1.3014551419,-1.5399319953,-1.8554068715,-2.2233388721,-2.4640059719,-2.5578889566,-2.5170591598,-2.3467998684,-2.0462969364,-1.6479677724,-1.3322096282,-1.1122844352,-0.9616730313,-0.8528720412,-0.7654287031,-0.6863002567,-0.6085651973,-0.5299904103,-0.4515827223,-0.3759076345,-0.3053162455,-0.2408518417,-0.1820043023,-0.1270134851,-0.0733564104,-0.0181560649,0.0416174311,0.1091829030,0.1881973154,0.2831620238,0.3998776616,0.5457286106,0.7294440624,0.9601975306,1.2480356748,1.6159080729,2.1476531940,3.0444200763,-2.7667598014,-2.5131345224,-2.3785180993,-2.3141915834,-2.2975965317,-2.3193951073,-2.3769667304,-2.4706090804,-2.5999955235,-2.7593873004,-2.9321969284,-3.0922994662,3.0580025081,2.9552417579
2.9039629274,2.8483211743,2.8066392126,2.7761745981,2.7545963038,2.7401128315,2.7314856524,2.7279784556,2.7292526720,2.7351957913,2.7456574822,2.7600724172,2.7769803237,2.7935354537,2.8052494555,2.8063984125,2.7915480308,2.7581474591,2.7091744487,2.6545692467,2.6091028436,2.5856027448,2.5929163657,2.6370463955,2.7226476853,2.8534370801,3.0306781235,-3.0341618810,-2.7925872601,-2.5571210036,-2.3432410294,-2.1539533080,-1.9864610651,-1.8364328271,-1.6998419026,-1.5734998946,-1.4550744889,-1.3429995324,-1.2364516410,-1.1354446009,-1.0410240125,-0.9554892353,-0.8825126428,-0.8269970590,-0.7946040278,-0.7912032934,-0.8229664855,-0.8982414537,-1.0333193610,-1.2650683933,-1.6686142618,-2.3387940300,-2.6902023212,-2.8210904081,-2.7945543297,-2.6136541045,-2.2231436131,-1.5497459455,-1.1699843233,-0.9701172253,-0.8622434560,-0.7944583256,-0.7378374413,-0.6774633401,-0.6074012438,-0.5279807433,-0.4438882005,-0.3616859386,-0.2865425419,-0.2206130162,-0.1631462951,-0.1114206005,-0.0617791165,-0.0103602362,0.0466135788,0.1129728774,0.1931146272,0.2928627737,0.4206219039,0.5885333599,0.8125679504,1.1086184458,1.4788511798,1.8918879751,2.3618451063,2.8968352163,-3.0049032377,-2.7607281389,-2.6141019882,-2.5350902567,-2.5052591260,-2.5143896326,-2.5571680596,-2.6304313765,-2.7305977849,-2.8511015252,-2.9807252595,-3.1054996818,3.0676111051,2.9763636801
2.9116459448,2.8568619009,2.8128964022,2.7780862219,2.7508912716,2.7301125020,2.7150065319,2.7053271332,2.7012945597,2.7034660919,2.7124558747,2.7284348570,2.7503527471,2.7749151086,2.7956171884,2.8026590700,2.7850509100,2.7354369375,2.6554069141,2.5603102067,2.4774187901,2.4258208155,2.4152903337,2.4513961650,2.5396727181,2.6873940213,2.9020757659,-3.0993182691,-2.7760919471,-2.4791707836,-2.2276156964,-2.0167662590,-1.8366529780,-1.6785274315,-1.5361785250,-1.4055709097,-1.2841872448,-1.1705213982,-1.0638073544,-0.9639415788,-0.8715171025,-0.7878737114,-0.7150629615,-0.6556443683,-0.6123094286,-0.5875141776,-0.5836294150,-0.6048816297,-0.6651224770,-0.8157001353,-1.2416347531,-2.7417562468,3.1395863537,3.0316573331,3.0470343951,-3.0967299576,-2.6554683450,-1.1911805452,-0.8298733804,-0.7354944228,-0.7226852332,-0.7249757293,-0.7140953635,-0.6783995480,-0.6156795419,-0.5307413755,-0.4344273048,-0.3405467436,-0.2586987818,-0.1920507227,-0.1386821710,-0.0938751729,-0.0521075520,-0.0082426409,0.0421101419,0.1028851223,0.1783724869,0.2746016674,0.4015209187,0.5761533290,0.8258887706,1.1863598370,1.6690850551,2.1146413029,2.5179382137,2.8872481723,-3.1105928009,-2.9108063327,-2.7812127449,-2.7060164246,-2.6733532274,-2.6752923743,-2.7065974848,-2.7632370061,-2.8409084940,-2.9337968797,-3.0341292059,-3.1333558384,3.0584386284,2.9786562481
2.9070876628,2.8545641734,2.8099769349,2.7723624059,2.7407524139,2.7144249341,2.6930897476,2.6770210598,2.6671273049,2.6649160553,2.6722668594,2.6908656511,2.7210937861,2.7601715027,2.7996641200,2.8235937931,2.8105694524,2.7431087861,2.6166965075,2.4538675536,2.3142069265,2.2243519692,2.1901110547,2.2125230808,2.2963425596,2.4541957343,2.7076065502,3.0790573117,-2.7344906174,-2.3572845590,-2.0719530096,-1.8490266348,-1.6648397567,-1.5047589748,-1.3606676286,-1.2283083679,-1.1054738347,-0.9909842779,-0.8842057316,-0.7848805290,-0.6930962381,-0.6092652896,-0.5340189851,-0.4679447866,-0.4111219885,-0.3624131414,-0.3183252947,-0.2705607406,-0.1986518512,-0.0437272998,0.3851430314,1.9171573001,2.3336930082,2.4607456385,2.4634522147,2.3343550100,1.8912091570,0.2506347703,-0.1953703851,-0.4162700064,-0.5679441728,-0.6687758826,-0.7152543272,-0.7064255137,-0.6462195512,-0.5449356659,-0.4226515593,-0.3075281316,-0.2158015810,-0.1503411763,-0.1057818960,-0.0734129968,-0.0446531632,-0.0127285494,0.0270764762,0.0779927538,0.1428340747,0.2256998623,0.3350810724,0.4901430897,0.7333880263,1.1524168631,1.8931623540,2.3769495930,2.7058761777,2.9571001031,-3.1331576641,-2.9912739144,-2.8937693463,-2.8340802870,-2.8065369737,-2.8065971017,-2.8305543865,-2.8749713516,-2.9360436174,-3.0091213281,-3.0886916021,3.1141173027,3.0376518039,2.9681686513
2.8939496453,2.8443082489,2.8000638953,2.7606153149,2.7253151822,2.6937324220,2.6658968916,2.6425328788,2.6252716443,2.6167985793,2.6208264923,2.6416709267,2.6830005136,2.7450317767,2.8192891762,2.8815359399,2.8905843796,2.8095269369,2.6140643589,2.3243980532,2.1006662458,1.9659182921,1.9064401562,1.9100581885,1.9765521323,2.1236554884,2.3971832214,2.8836469325,-2.6082798019,-2.1472596995,-1.8547715713,-1.6426198538,-1.4688154854,-1.3148674129,-1.1732901213,-1.0413883756,-0.9182836146,-0.8036043744,-0.6970178257,-0.5981419925,-0.5065779616,-0.4219160876,-0.3436309498,-0.2708063508,-0.2016303887,-0.1325501979,-0.0568052674,0.0383725646,0.1774422237,0.4074475466,0.8131352869,1.5013645075,1.8741085240,2.0312506876,2.0304561291,1.8646295546,1.4604841021,0.6900890808,0.1949282080,-0.1679731223,-0.4641351538,-0.6668799026,-0.7718141705,-0.7859577498,-0.7178471512,-0.5800998158,-0.4038630543,-0.2513164240,-0.1467832380,-0.0878412705,-0.0608006759,-0.0494540578,-0.0404752348,-0.0252044790,0.0008251878,0.0390753687,0.0891856949,0.1502368436,0.2230609719,0.3168441767,0.4719135144,0.8456099449,2.3396483932,2.7898985823,2.9701099569,3.0839949690,-3.1054857859,-3.0276946485,-2.9685481127,-2.9299102276,-2.9120021542,-2.9139113853,-2.9340026550,-2.9700519287,-3.0192157751,-3.0780139426,3.1406819482,3.0744540015,3.0098542867,2.9492556007
2.8751204329,2.8286315470,2.7853341618,2.7447019710,2.7061462122,2.6692818654,2.6342248502,2.6019359287,2.5746203524,2.5561669402,2.5525499757,2.5719777849,2.6242256864,2.7177118576,2.8509246439,2.9928608977,3.0613906235,2.9901618382,2.7029976876,2.1303516428,1.7965941678,1.6291714744,1.5564430868,1.5410914595,1.5710867409,1.6590594131,1.8703608380,2.4304262098,-2.2051433008,-1.7735546866,-1.5570861122,-1.3975370806,-1.2527170222,-1.1124405342,-0.9760879730,-0.8455220063,-0.7225142830,-0.6079756327,-0.5019635389,-0.4039387242,-0.3130086283,-0.2280471010,-0.1476506810,-0.0699142491,0.0079965284,0.0905255190,0.1847544827,0.3018934433,0.4591047100,0.6801929247,0.9885784373,1.3680640494,1.6359678347,1.7691358448,1.7722705059,1.6382132849,1.3458751476,0.8957046253,0.4581974108,0.0156233577,-0.4510632946,-0.7618079315,-0.9195493806,-0.9483956279,-0.8592180753,-0.6534209292,-0.3617822631,-0.1474275795,-0.0322300167,0.0065301315,-0.0002073318,-0.0232294971,-0.0426933325,-0.0485448372,-0.0377540999,-0.0118109678,0.0244849718,0.0628782021,0.0898857094,0.0813270626,-0.0165011923,-0.3601874284,-2.2591560641,-2.7762343219,-2.9802941790,-3.0521266537,-3.0620377458,-3.0455932513,-3.0228825756,-3.0050221336,-2.9976358667,-3.0030290601,-3.0214947562,-3.0520427967,-3.0927983084,-3.1412696708,3.0885558624,3.0331174736,2.9780191248,2.9250192787
2.8528527900,2.8097387927,2.7679183679,2.7266950694,2.6852726332,2.6430148666,2.5997793934,2.5563621097,2.5150988371,2.4806725143,2.4611669677,2.4693785902,2.5242108140,2.6508988573,2.8739417357,-3.1051594238,-2.9069652047,-2.8904854924,3.0578781484,1.7111288513,1.3182443205,1.1909325005,1.1447564946,1.1230852903,1.1017897789,1.0526990870,0.9014848619,0.4170424864,-0.8753273570,-1.1686733076,-1.2002801267,-1.1373498519,-1.0319437625,-0.9059771603,-0.7729669826,-0.6419398039,-0.5180990560,-0.4036356709,-0.2987406640,-0.2024710016,-0.1133181891,-0.0294831688,0.0510875634,0.1308514253,0.2129672949,0.3017114553,0.4029580526,0.5245541599,0.6760627236,0.8664457171,1.0964367279,1.3409076855,1.5318340326,1.6392966554,1.6534588787,1.5682039678,1.3784422776,1.0896334821,0.7261884517,0.2212611461,-0.5825815894,-1.0078015179,-1.1986632950,-1.2318675015,-1.1183674946,-0.8105724500,-0.2447222854,0.0553511546,0.1593481701,0.1466176387,0.0766152851,-0.0006577005,-0.0586193683,-0.0886336678,-0.0915988572,-0.0731621452,-0.0424179341,-0.0131654636,-0.0075908087,-0.0635145124,-0.2486229582,-0.6907304620,-1.6873118784,-2.4021914104,-2.7833139888,-2.9674374603,-3.0450412070,-3.0698395369,-3.0724397809,-3.0697106117,-3.0705222281,-3.0790993721,-3.0969332338,-3.1238638972,3.1244739539,3.0834976781,3.0384588932,2.9913962863,2.9440468895,2.8976489107
2.8288744880,2.7895280470,2.7498849195,2.7088706131,2.6652216616,2.6177172098,2.5655122291,2.5086347145,2.4487368111,2.3902205281,2.3419261835,2.3198264159,2.3519887099,2.4885996934,2.8187355044,-2.8144194695,-2.3947485954,-2.0620526961,-1.5442003786,0.0992484167,0.5199749870,0.6614368107,0.7062509612,0.7047352237,0.6634704197,0.5653953881,0.3673482559,-0.0029752286,-0.5718371438,-0.8522332925,-0.9425695592,-0.9206445538,-0.8319786884,-0.7065697790,-0.5677638709,-0.4309992180,-0.3040916375,-0.1894998463,-0.0866759032,0.0063049963,0.0918490364,0.1724667000,0.2507102526,0.3292866138,0.4112558428,0.5002409303,0.6005454536,0.7169797796,0.8539990561,1.0134592946,1.1901852471,1.3660629264,1.5104248296,1.6029281762,1.6342534496,1.6017402794,1.5075501861,1.3561739870,1.1301103047,0.6773616482,-1.0367216062,-1.4929980471,-1.6454387566,-1.6721536029,-1.5806799875,-1.2109299466,0.1206130008,0.4593482776,0.4712511587,0.3446742216,0.1606289022,0.0025596606,-0.1025661218,-0.1558968227,-0.1669812624,-0.1469383654,-0.1079208894,-0.0655814468,-0.0435477407,-0.0797891515,-0.2349704677,-0.6034994242,-1.3222540847,-2.3203666196,-2.7765659863,-2.9884914277,-3.0808626591,-3.1163729242,-3.1274083706,-3.1309232046,-3.1356935333,3.1372295284,3.1198687884,3.0953729898,3.0646426549,3.0290940987,2.9903392737,2.9499192191,2.9090853615,2.8686436596
2.8044459466,2.7695904427,2.7332027416,2.6936641926,2.6490126108,2.5971096651,2.5359116007,2.4639287192,2.3809997532,2.2895259595,2.1962915970,2.1151704110,2.0730054786,2.1315132704,2.4758698526,-2.3086880413,-1.7870015955,-1.4573758678,-1.0302424365,-0.3233745282,0.0547163633,0.2402501840,0.3183927818,0.3295468243,0.2869551127,0.1871047226,0.0163290439,-0.2360110103,-0.5348279694,-0.7271618871,-0.7992668823,-0.7716255341,-0.6690735665,-0.5206104807,-0.3604122637,-0.2099717533,-0.0774725038,0.0367060133,0.1355016868,0.2227390273,0.3021120744,0.3769095831,0.4500689150,0.5243453228,0.6024886963,0.6873551173,0.7818685699,0.8887018600,1.0094842369,1.1433375617,1.2848194200,1.4223983563,1.5405478450,1.6276527370,1.6789173782,1.6969777422,1.6941424906,1.6996345380,1.7815398882,2.1277211840,-2.7633604015,-2.3489200791,-2.2364901127,-2.2477021878,-2.3788802325,-2.7928323314,1.7761344791,1.2537179095,0.9323630415,0.6009316229,0.2189059743,-0.0467998485,-0.1983515976,-0.2656323109,-0.2737041618,-0.2398325824,-0.1768376373,-0.0977723271,-0.0213190616,0.0223498076,-0.0139298117,-0.2080393678,-0.7531066002,-2.6442567949,-3.0019973570,-3.1281771329,3.1095636097,3.0956950567,3.0932038505,3.0922387780,3.0877572419,3.0774225336,3.0605737174,3.0376123748,3.0095826354,2.9778506160,2.9438409615,2.9088155531,2.8736955076,2.8389341161
2.7803588948,2.7511629438,2.7196524753,2.6835540662,2.6400388574,2.5857798089,2.5170757294,2.4301495285,2.3218018145,2.1906072890,2.0384681753,1.8706535883,1.6875527158,1.4517188342,0.9949620817,-0.5562043870,-0.9453862824,-0.9590288148,-0.7708495380,-0.4535228805,-0.2123590080,-0.0669243106,0.0019102823,0.0115751004,-0.0287622713,-0.1165279213,-0.2508852324,-0.4232266935,-0.6010254458,-0.7214347187,-0.7560321148,-0.6977360065,-0.5520786861,-0.3463472763,-0.1431077458,0.0293909656,0.1679389728,0.2787287885,0.3695853821,0.4472951370,0.5171313857,0.5831086691,0.6483765292,0.7155582523,0.7869811582,0.8647765991,0.9508179547,1.0464454848,1.1519257589,1.2656614033,1.3833944658,1.4980995375,1.6016319816,1.6882068316,1.7568652845,1.8132594845,1.8722938173,1.9631198468,2.1378812196,2.4831651669,3.1012370096,-2.8322131135,-2.6852454070,-2.6863602645,-2.8397130832,3.0652083373,2.3062339788,1.8126140255,1.4040989016,0.9064676855,0.1668498934,-0.2085307438,-0.3787819332,-0.4351909607,-0.4227889647,-0.3620634047,-0.2619117281,-0.1274390830,0.0335765252,0.2051707241,0.3713095090,0.5824914245,1.0654571843,2.4777000458,2.8167583016,2.9334802487,2.9849835311,3.0130972943,3.0290338526,3.0356725331,3.0338224635,3.0240796437,3.0073429289,2.9848728700,2.9581786415,2.9288402549,2.8983165857,2.8677682474,2.8379127947,2.8089213900
